client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0010_18,0,,437,test,0.045454545454545456,4.152512550354004
f0020_08,0,,372,test,0.10526315789473684,4.096645355224609
f0027_29,0,,352,test,0.027777777777777776,4.133098125457764
f0033_49,0,,338,test,0.029411764705882353,4.1223225593566895
f0080_14,0,,324,test,0.06060606060606061,4.128542423248291
f0092_16,0,,353,test,0.027777777777777776,4.150041580200195
f0150_25,0,,362,test,0.05405405405405406,4.090672016143799
f0179_22,0,,330,test,0.030303030303030304,4.1039204597473145
f0194_30,0,,349,test,0.02857142857142857,4.1618242263793945
f0227_27,0,,368,test,0.05405405405405406,4.125840187072754
f0231_43,0,,295,test,0.06666666666666667,4.125047206878662
f0286_16,0,,369,test,0.0,4.126224517822266
f0297_05,0,,207,test,0.09523809523809523,4.080563545227051
f0317_44,0,,421,test,0.023255813953488372,4.133846759796143
f0327_43,0,,404,test,0.04878048780487805,4.128359317779541
f0393_18,0,,356,test,0.027777777777777776,4.155340671539307
f0405_20,0,,346,test,0.05714285714285714,4.102417469024658
f0406_00,0,,296,test,0.06666666666666667,4.119441509246826
f0415_28,0,,385,test,0.0,4.121469497680664
f0490_13,0,,321,test,0.09090909090909091,4.144003391265869
f0527_23,0,,319,test,0.0,4.16560173034668
f0530_15,0,,409,test,0.0975609756097561,4.1260480880737305
f0548_49,0,,359,test,0.027777777777777776,4.108863353729248
f0575_25,0,,309,test,0.03225806451612903,4.150990009307861
f0580_29,0,,331,test,0.0,4.147996425628662
f0587_34,0,,355,test,0.027777777777777776,4.150579452514648
f0597_00,0,,399,test,0.1,4.101533889770508
f0637_21,0,,296,test,0.0,4.155453205108643
f0663_30,0,,342,test,0.02857142857142857,4.151022911071777
f0691_00,0,,235,test,0.0,4.132235527038574
f0696_13,0,,336,test,0.058823529411764705,4.125357151031494
f0700_20,0,,363,test,0.02702702702702703,4.111776828765869
f0712_09,0,,231,test,0.041666666666666664,4.1353888511657715
f0722_29,0,,341,test,0.0,4.154906272888184
f0776_08,0,,246,test,0.08,4.1468024253845215
f0826_18,0,,318,test,0.03125,4.14610481262207
f0828_34,0,,332,test,0.058823529411764705,4.1258625984191895
f0831_15,0,,384,test,0.05128205128205128,4.11118745803833
f0835_08,0,,143,test,0.0,4.17246675491333
f0848_42,0,,150,test,0.0,4.139300346374512
f0857_21,0,,177,test,0.0,4.145989418029785
f0867_28,0,,378,test,0.02631578947368421,4.133779525756836
f0897_19,0,,254,test,0.07692307692307693,4.113568305969238
f0917_11,0,,353,test,0.0,4.141092777252197
f0924_33,0,,246,test,0.04,4.160785675048828
f0969_31,0,,126,test,0.07692307692307693,4.112184524536133
f0972_43,0,,355,test,0.05555555555555555,4.136262893676758
f1005_12,0,,115,test,0.0,4.141883850097656
f1011_35,0,,152,test,0.0,4.182103633880615
f1041_18,0,,180,test,0.0,4.162099361419678
f1063_36,0,,376,test,0.05263157894736842,4.108746528625488
f1065_10,0,,294,test,0.03333333333333333,4.141356945037842
f1072_34,0,,216,test,0.09090909090909091,4.140335559844971
f1078_11,0,,307,test,0.0967741935483871,4.1153645515441895
f1090_13,0,,203,test,0.0,4.089354515075684
f1109_36,0,,319,test,0.03125,4.075064182281494
f1111_02,0,,370,test,0.05405405405405406,4.096646785736084
f1129_22,0,,291,test,0.06666666666666667,4.144663333892822
f1134_40,0,,296,test,0.0,4.151066303253174
f1180_21,0,,363,test,0.08108108108108109,4.0963921546936035
f1184_21,0,,216,test,0.045454545454545456,4.157421588897705
f1198_41,0,,325,test,0.18181818181818182,4.085916996002197
f1199_24,0,,280,test,0.0,4.159764289855957
f1230_10,0,,269,test,0.037037037037037035,4.146022796630859
f1302_15,0,,126,test,0.0,4.182558536529541
f1319_00,0,,185,test,0.10526315789473684,4.1258864402771
f1330_35,0,,282,test,0.10344827586206896,4.098023891448975
f1335_30,0,,292,test,0.1,4.137151718139648
f1341_45,0,,155,test,0.0,4.185884475708008
f1368_03,0,,196,test,0.05,4.122889995574951
f1371_21,0,,221,test,0.043478260869565216,4.14007568359375
f1402_17,0,,313,test,0.03125,4.154147624969482
f1431_47,0,,284,test,0.0,4.143138408660889
f1461_46,0,,230,test,0.043478260869565216,4.159913539886475
f1475_14,0,,144,test,0.0,4.16738748550415
f1533_23,0,,177,test,0.0,4.178193092346191
f1613_27,0,,173,test,0.0,4.194888591766357
f1622_16,0,,168,test,0.0,4.146228313446045
f1625_05,0,,156,test,0.0,4.221719741821289
f1649_03,0,,179,test,0.0,4.171535968780518
f1677_01,0,,155,test,0.0625,4.1328887939453125
f1683_30,0,,171,test,0.0,4.1426777839660645
f1701_10,0,,143,test,0.0,4.185733318328857
f1702_13,0,,176,test,0.0,4.154573440551758
f1738_42,0,,175,test,0.0,4.140064239501953
f1743_33,0,,130,test,0.0,4.18003511428833
f1792_12,0,,174,test,0.0,4.140507698059082
f1806_29,0,,177,test,0.05555555555555555,4.160796642303467
f1811_11,0,,140,test,0.0,4.174580097198486
f1823_43,0,,118,test,0.08333333333333333,4.154227256774902
f1826_01,0,,158,test,0.0,4.202721118927002
f1862_37,0,,173,test,0.05555555555555555,4.145396709442139
f1878_33,0,,137,test,0.0,4.176523685455322
f1890_28,0,,154,test,0.0,4.185418128967285
f1898_09,0,,130,test,0.0,4.219870567321777
f1948_41,0,,154,test,0.0,4.269277572631836
f1951_19,0,,176,test,0.0,4.15098762512207
f1964_32,0,,152,test,0.0,4.150175094604492
f1973_24,0,,148,test,0.0,4.183810710906982
f2037_06,0,,155,test,0.0,4.156401634216309
f2039_13,0,,147,test,0.0,4.189793109893799
f2060_18,0,,169,test,0.0,4.140964031219482
f2162_62,0,,160,test,0.0,4.160104751586914
f2172_67,0,,176,test,0.0,4.1901350021362305
f2177_57,0,,116,test,0.0,4.144984722137451
f2197_62,0,,142,test,0.0,4.1561055183410645
